"item","label","class","summary","value"
"","","","Rows in dataset","150"
"","","","Columns in dataset","10"
"RandomID","No label","character","unique responses","136"
"","","","missing","0"
"ht1","No label","numeric","mean","103"
"","","","median","103"
"","","","min","32"
"","","","max","120.6"
"","","","missing","0"
"ht2","No label","numeric","mean","103"
"","","","median","103"
"","","","min","33"
"","","","max","120.5"
"","","","missing","0"
"ht3","No label","numeric","mean","103"
"","","","median","103"
"","","","min","32.5"
"","","","max","120.4"
"","","","missing","0"
"mean_ht","No label","numeric","mean","103"
"","","","median","103"
"","","","min","32.5"
"","","","max","120.5"
"","","","missing","0"
"w1","No label","numeric","mean","18"
"","","","median","17"
"","","","min","11.9"
"","","","max","26.5"
"","","","missing","0"
"w2","No label","numeric","mean","18"
"","","","median","17"
"","","","min","11.9"
"","","","max","26.6"
"","","","missing","0"
"w3","No label","numeric","mean","18"
"","","","median","17"
"","","","min","11.9"
"","","","max","26.5"
"","","","missing","0"
"mean_w","No label","numeric","mean","18"
"","","","median","17"
"","","","min","11.9"
"","","","max","26.53"
"","","","missing","0"
"BMI","No label","numeric","mean","17"
"","","","median","16"
"","","","min","12.63"
"","","","max","119.61"
"","","","missing","0"
